Seed,Team,Record
1,Golden State Warriors,73-9
2,San Antonio Spurs,67-15
3,Cleveland Cavaliers,57-25
4,Toronto Raptors,56-26
5,Oklahoma City Thunder,55-27
6,Los Angeles Clippers,53-29
7,Atlanta Hawks,48-34
8,Boston Celtics,48-34
9,Charlotte Hornets,48-34
10,Miami Heat,48-34
11,Indiana Pacers,45-37
12,Detroit Pistons,44-38
13,Portland Trail Blazers,44-38
14,Dallas Mavericks,42-40
15,Memphis Grizzlies,42-40
16,Chicago Bulls,42-40
17,Houston Rockets,41-41
18,Washington Wizards,41-41
19,Utah Jazz,40-42
20,Orlando Magic,35-47
21,Denver Nuggets,33-49
22,Milwaukee Bucks,33-49
23,Sacramento Kings,33-49
24,New York Knicks,32-50
25,New Orleans Pelicans,30-52
26,Minnesota Timberwolves,29-53
27,Phoenix Suns,23-59
28,Brooklyn Nets,21-61
29,Los Angeles Lakers,17-65
30,Philadelphia 76ers,10-72
