Seed,Team,Record
1,San Antonio Spurs,62-20
2,Oklahoma City Thunder,59-23
3,Los Angeles Clippers,57-25
4,Indiana Pacers,56-26
5,Houston Rockets,54-28
6,Miami Heat,54-28
7,Portland Trail Blazers,54-28
8,Golden State Warriors,51-31
9,Memphis Grizzlies,50-32
10,Dallas Mavericks,49-33
11,Chicago Bulls,48-34
12,Toronto Raptors,48-34
13,Phoenix Suns,48-34
14,Brooklyn Nets,44-38
15,Washington Wizards,44-38
16,Charlotte Bobcats,43-39
17,Minnesota Timberwolves,40-42
18,Atlanta Hawks,38-44
19,New York Knicks,37-45
20,Denver Nuggets,36-46
21,New Orleans Pelicans,34-48
22,Cleveland Cavaliers,33-49
23,Detroit Pistons,29-53
24,Sacramento Kings,28-54
25,Los Angeles Lakers,27-55
26,Boston Celtics,25-57
27,Utah Jazz,25-57
28,Orlando Magic,23-59
29,Philadelphia 76ers,19-63
30,Milwaukee Bucks,15-67
